name,youtube_url,date,court,duration_minutes
Semi 2 - Erik Rundqvist / Pavle Cani vs Teodor Norup / Nicklas Larsson,https://www.youtube.com/watch?v=53cfgHafO-c,2026-03-21 17:40,Bana 8,90
Kvart 1 - Oskar Billerfors / Mikael Lindahl vs Niklas Gustafsson / Rickard Sandberg,https://www.youtube.com/watch?v=Xamep3GnXi0,2026-03-21 17:00,Bana 7,90
Kvart 2 - Oliver Lundmark / Anders Hellvig vs Alvin Bolin / Elliott Bolin,https://www.youtube.com/watch?v=bOdMmDNLvvw,2026-03-21 17:00,Bana 10,90
Kvart 3 - Erik Rundqvist / Pavle Cani vs Brady Nilsson / Stefan Karlsson,https://www.youtube.com/watch?v=YqCsMYdEo_g,2026-03-21 17:00,Bana 9,90
Kvart 4 - Teodor Norup / Nicklas Larsson vs Zia Qasemi / Wilhelm Ek Tedefors,https://www.youtube.com/watch?v=0GUgClcX6g8,2026-03-21 17:00,Bana 8,90
Åttondel 1 - Niklas Gustafsson / Rickard Sandberg vs Andreas Aurelius / Peter Barmyr,https://www.youtube.com/watch?v=5OQIabO-fko,2026-03-21 16:20,Bana 7,90
Åttondel 2 - Zia Qasemi / Wilhelm Ek Tedefors vs Mattias Dammander Åberg / Joakim Celinder,https://www.youtube.com/watch?v=dyuZ4S19NTQ,2026-03-21 16:20,Bana 8,90
Gruppspel - Andreas Aurelius / Peter Barmyr vs Oskar Öberg / Alexander Öberg,https://www.youtube.com/watch?v=H8i3h7Tq6MI,2026-03-21 15:40,Bana 8,90
Gruppspel - Jonas Pettersson / Jakob Liv vs Ludwig Widerström Jonsson / Linus Stjernberg,https://www.youtube.com/watch?v=ElkY7-pjeiw,2026-03-21 15:40,Bana 9,90
Gruppspel - Zia Qasemi / Wilhelm Ek Tedefors vs Jacob Immerstrand / Erik Jilnö,https://www.youtube.com/watch?v=PoPW_XHSy14,2026-03-21 15:40,Bana 10,90
Gruppspel - Brady Nilsson / Stefan Karlsson vs Henning Zettergren / Stefhan Jägare,https://www.youtube.com/watch?v=xoKu2co5MrE,2026-03-21 15:40,Bana 7,90
